DNI,nombre,apellido,edad,genero,ciudad,LU
71779527,Isidro,Blackmuir,66,Male,Jiaoyuan,34978
33865264,Austin,Hatherall,67,Male,Ganhe,51244
17331470,Dayle,Edie,37,Polygender,Melekeok Village,61607
27532732,Edsel,Geroldi,32,Male,Samagaltay,48092
30842249,Jerry,Christol,61,Agender,Idvor,95419
57065298,Ferrel,MacGoun,46,Male,Gradac,80067
22438724,Derek,Von Der Empten,57,Male,Paquera,59652
84076286,Sebastien,Bayle,41,Male,Arroio do Meio,98057
66647912,Shep,Guymer,51,Male,Chilly-Mazarin,43523
91971812,Marijn,Fideler,20,Male,Yinla,34169
90662737,Ronald,Gwalter,52,Polygender,Tomaszw Lubelski,50617
69684172,Padget,Corzon,60,Male,D An,55783
36756785,Lorin,Warhurst,52,Male,Iau,21429
58814096,Mariya,Caney,52,Female,Kabul,30314
90033012,Brenn,Oakeby,29,Female,Vide,51301
25343761,Heather,Grima,63,Female,Sungairaya,10705
24549124,Wenda,Jertz,43,Female,Qiligang,35056
74843661,Fredia,Burgum,47,Female,Rym,41109
62626021,Shanon,Nottram,65,Polygender,Rixi,89001
97757202,Jaye,Boow,31,Agender,Ongandjera,18876
38431533,Kathy,Imm,54,Female,Azilal,90149
71704970,Tye,Hamlen,40,Male,Santiago,79419
72695248,Maggee,Symones,53,Female,Dewetsdorp,39797
91911951,Reese,Dorkins,21,Male,Kumo,26799
13820383,Danica,Stopford,63,Non-binary,Fenghuang,75247
89370812,Stormy,Audrey,26,Female,N,93298
29588318,Lanny,Wybrew,21,Female,Magetlegar,19844
77560472,Gustie,Shenfish,51,Female,Anulid,37972
84969599,Merry,Buglar,56,Female,Guling,51516
17503300,Jonis,Suthren,61,Female,Mainit,35424
92026473,Rochester,O'Heyne,41,Male,Kuliyapitiya,44502
76787321,Reggie,Kubczak,45,Female,Hita,45231
77555326,Thaxter,Noe,20,Male,Zhanjia,56695
64815263,Eddie,Hasted,29,Male,Nelspruit,44599
11962781,Dilly,Cristea,45,Male,Lyamino,96779
36995626,Fancy,Pepys,32,Female,Longquan,62334
99266178,Kean,Lyddiatt,66,Male,Taxisco,95950
57799873,Shurlock,Muat,18,Male,Ręczno,15872
67116086,Willabella,Sillett,68,Female,Mafra,45096
12706636,Fredric,Mulhall,70,Genderfluid,Alvalade,79150
88122566,Ashby,Mattiazzo,54,Male,Busalangga,11667
40155130,Stephan,Winspare,62,Male,Ljungby,26013
20916178,Clarissa,Felix,43,Female,Baisha,78149
99497767,Skip,Symper,59,Male,Paris La Défense,36340
85171302,Esther,Wellen,37,Female,Don Chedi,51171
39132115,Hulda,Chotty,52,Female,Nguru,57759
79791921,Ronni,Fesby,36,Female,Jawatiwa,10910
54557133,Selby,Druitt,42,Male,Pljevlja,90059
44782708,Ham,Airy,27,Male,Dashtobod,90958
42492247,Bradney,Luety,19,Male,Jinyuan,24861
